construction_type	year	place_full_name	lat	long	norm_lat	norm_long	dialect	distance_from_antwerp	context	gender	mentioned_users_count	user_id	username
bent	2016	Turnhout, Belgium	51.2626138	51.2626138	51.3233812	4.948461	Brabants	11.69	main	female	0	user_id_1791	username_1791
bent	2016	Lier, België	51.0729422	51.0729422	51.131069	4.5696516	Brabants	25.82	main	male	0	user_id_707	username_707
bent	2016	Kapellen, België	51.2927205	51.2927205	51.3324502	4.430583785863899	Brabants	24.44	inversion		0	user_id_1766	username_1766
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	0	user_id_1792	username_1792
bent	2016	Bruges, Belgium	51.158168	51.158168	51.2085526	3.226772	West-Vlaams	109.19	main		0	user_id_1793	username_1793
bent	2016	Kapellen, België	51.2927205	51.2927205	51.3324502	4.430583785863899	Brabants	24.44	main	female	0	user_id_777	username_777
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	other	female	0	user_id_1596	username_1596
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	inversion	female	0	user_id_1244	username_1244
bent	2016	Herenthout, België	51.1117882	51.1117882	51.1392427	4.7543972	Brabants	20.37	main	female	0	user_id_1341	username_1341
bent	2016	Louvain, Belgium	50.824111	50.824111	50.879202	4.7011675	Brabants	49.53	main		1	user_id_1667	username_1667
bent	2016	Schilde, België	51.2197338	51.2197338	51.257095	4.595518213176632	Brabants	14.78	other	male	1	user_id_166	username_166
bent	2016	Hoogstraten, België	51.3756463	51.3756463	51.39573015	4.744087183464012	Brabants	8.64	main	male	1	user_id_1662	username_1662
bent	2016	Lier, België	51.0729422	51.0729422	51.131069	4.5696516	Brabants	25.82	inversion	female	0	user_id_1764	username_1764
bent	2016	Stabroek, België	51.2971672	51.2971672	51.335154200000005	4.370409494988416	Brabants	28.64	main	female	0	user_id_1612	username_1612
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	inversion	female	0	user_id_1794	username_1794
bent	2016	Mechelen, Belgium	50.9911878	50.9911878	51.0281381	4.4803453	Brabants	38.82	inversion	male	0	user_id_1769	username_1769
bent	2016	Zoersel, België	51.2191072	51.2191072	51.2624772	4.6921638923036735	Brabants	9.02	main	female	0	user_id_1795	username_1795
bent	2016	Aartselaar, België	51.1095417	51.1095417	51.133297	4.3870241	Brabants	34.57	main	female	1	user_id_1772	username_1772
bent	2016	Louvain, Belgium	50.824111	50.824111	50.879202	4.7011675	Brabants	49.53	main	female	0	user_id_1796	username_1796
bent	2016	Puurs, België	51.0266441	51.0266441	51.0762086	4.2817075	Brabants	44.29	other	male	0	user_id_1797	username_1797
bent	2016	Lier, België	51.0729422	51.0729422	51.131069	4.5696516	Brabants	25.82	other	female	0	user_id_1764	username_1764
bent	2016	Rijkevorsel, België	51.3126094	51.3126094	51.3503707	4.758514	Brabants	3.56	inversion		0	user_id_1643	username_1643
bent	2016	Mechelen, Belgium	50.9911878	50.9911878	51.0281381	4.4803453	Brabants	38.82	main		1	user_id_644	username_644
bent	2016	Brasschaat, België	51.2686367	51.2686367	51.2900693	4.4917295	Brabants	20.46	other	female	0	user_id_1798	username_1798
bent	2016	Brakel, België	50.7476767	50.7476767	50.7979739	3.762778	Oost-Vlaams	92.12	main	male	0	user_id_949	username_949
bent	2016	Ghent, Belgium	50.9795312	50.9795312	51.0538286	3.7250121	Oost-Vlaams	79.59	main	male	1	user_id_1776	username_1776
bent	2016	Ghent, Belgium	50.9795312	50.9795312	51.0538286	3.7250121	Oost-Vlaams	79.59	other	female	0	user_id_1782	username_1782
bent	2016	Putte, België	51.0172622	51.0172622	51.0570823	4.6310473	Brabants	31.23	inversion	female	1	user_id_1670	username_1670
bent	2016	Mechelen, Belgium	50.9911878	50.9911878	51.0281381	4.4803453	Brabants	38.82	main	female	2	user_id_1745	username_1745
bent	2016	Essen, België	51.4152751	51.4152751	51.4679229	4.4698256	Brabants	27.08	main	female	0	user_id_731	username_731
bent	2016	Mechelen, Belgium	50.9911878	50.9911878	51.0281381	4.4803453	Brabants	38.82	main		1	user_id_644	username_644
bent	2016	Mechelen, Belgium	50.9911878	50.9911878	51.0281381	4.4803453	Brabants	38.82	main		1	user_id_644	username_644
bent	2016	Mechelen, Belgium	50.9911878	50.9911878	51.0281381	4.4803453	Brabants	38.82	main		2	user_id_644	username_644
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	0	user_id_597	username_597
bent	2016	Bonheiden, België	50.9901275	50.9901275	51.0261294	4.537821777907236	Brabants	37.0	main		2	user_id_1785	username_1785
bent	2016	Kalmthout, België	51.3524501	51.3524501	51.3832723	4.4763255	Brabants	22.29	other	female	0	user_id_268	username_268
bent	2016	Zelzate, België	51.1821835	51.1821835	51.2000036	3.8105002	Oost-Vlaams	69.06	inversion		0	user_id_1751	username_1751
bent	2016	Haacht, België	50.924699	50.924699	50.9769474	4.6383121	Brabants	39.62	main	male	0	user_id_1799	username_1799
bent	2016	Ranst, België	51.1484808	51.1484808	51.1962373	4.563813424474654	Brabants	20.59	main	female	0	user_id_1775	username_1775
bent	2016	Hoogstraten, België	51.3756463	51.3756463	51.39573015	4.744087183464012	Brabants	8.64	inversion	male	1	user_id_1662	username_1662
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	0	user_id_1608	username_1608
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	male	0	user_id_1200	username_1200
bent	2016	Duffel, België	51.0725369	51.0725369	51.0957176	4.5061988	Brabants	31.62	other	female	0	user_id_1238	username_1238
bent	2016	Schoten, België	51.2355792	51.2355792	51.2516344	4.4980446	Brabants	21.2	main	female	0	user_id_1518	username_1518
bent	2016	Mechelen, Belgium	50.9911878	50.9911878	51.0281381	4.4803453	Brabants	38.82	other	female	0	user_id_1800	username_1800
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	inversion	female	0	user_id_1677	username_1677
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	male	1	user_id_1284	username_1284
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	male	0	user_id_725	username_725
bent	2016	Erpe-Mere, België	50.8741348	50.8741348	50.9226391	3.9459888	Oost-Vlaams	73.39	main	female	0	user_id_1801	username_1801
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	0	user_id_716	username_716
bent	2016	Wijnegem, België	51.215485	51.215485	51.2270761	4.5225318	Brabants	20.86	inversion	female	1	user_id_1157	username_1157
bent	2016	Stabroek, België	51.2971672	51.2971672	51.335154200000005	4.370409494988416	Brabants	28.64	other		0	user_id_264	username_264
bent	2016	Hoogstraten, België	51.3756463	51.3756463	51.39573015	4.744087183464012	Brabants	8.64	inversion	male	0	user_id_1662	username_1662
bent	2016	Heist-op-den-Berg, België	50.9986181	50.9986181	51.06251575	4.71943107216415	Brabants	29.14	other		0	user_id_866	username_866
bent	2016	Brasschaat, België	51.2686367	51.2686367	51.2900693	4.4917295	Brabants	20.46	inversion	female	0	user_id_1700	username_1700
bent	2016	Kapellen, België	51.2927205	51.2927205	51.3324502	4.430583785863899	Brabants	24.44	other	female	0	user_id_1447	username_1447
bent	2016	Mechelen, Belgium	50.9911878	50.9911878	51.0281381	4.4803453	Brabants	38.82	inversion		1	user_id_644	username_644
bent	2016	Koksijde, België	51.0811846	51.0811846	51.1092282	2.63527569108102	West-Vlaams	151.75	main	female	2	user_id_1670	username_1670
bent	2016	Louvain, Belgium	50.824111	50.824111	50.879202	4.7011675	Brabants	49.53	other	female	0	user_id_1796	username_1796
bent	2016	Rijkevorsel, België	51.3126094	51.3126094	51.3503707	4.758514	Brabants	3.56	main	female	0	user_id_1399	username_1399
bent	2016	Kasterlee, België	51.1947139	51.1947139	51.24894455	4.989181503091067	Brabants	16.64	inversion	female	0	user_id_1802	username_1802
bent	2016	Tremelo, België	50.9791487	50.9791487	50.9919047	4.7040582	Brabants	37.07	inversion	male	0	user_id_1569	username_1569
bent	2016	Zoersel, België	51.2191072	51.2191072	51.2624772	4.6921638923036735	Brabants	9.02	other	female	0	user_id_1795	username_1795
bent	2016	Hoogstraten, België	51.3756463	51.3756463	51.39573015	4.744087183464012	Brabants	8.64	main	male	0	user_id_1662	username_1662
bent	2016	Stabroek, België	51.2971672	51.2971672	51.335154200000005	4.370409494988416	Brabants	28.64	other	female	0	user_id_1612	username_1612
bent	2016	Ghent, Belgium	50.9795312	50.9795312	51.0538286	3.7250121	Oost-Vlaams	79.59	main	male	0	user_id_1776	username_1776
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	male	0	user_id_1741	username_1741
bent	2016	Stabroek, België	51.2971672	51.2971672	51.335154200000005	4.370409494988416	Brabants	28.64	other	female	0	user_id_1612	username_1612
bent	2016	Temse, België	51.1011421	51.1011421	51.1253635	4.2133313	Oost-Vlaams	45.25	inversion	male	0	user_id_569	username_569
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	inversion	female	0	user_id_153	username_153
bent	2016	Malle, België	51.2424745	51.2424745	51.2970123	4.6933094	Brabants	6.68	main	female	0	user_id_1679	username_1679
bent	2016	Bonheiden, België	50.9901275	50.9901275	51.0261294	4.537821777907236	Brabants	37.0	main	female	0	user_id_861	username_861
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	other	female	0	user_id_1176	username_1176
bent	2016	Boortmeerbeek, België	50.9581649	50.9581649	50.978285850000006	4.575800524999997	Brabants	40.8	main	male	0	user_id_136	username_136
bent	2016	Heist-op-den-Berg, België	50.9986181	50.9986181	51.06251575	4.71943107216415	Brabants	29.14	inversion	male	0	user_id_831	username_831
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	inversion	female	0	user_id_1596	username_1596
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	1	user_id_1803	username_1803
bent	2016	Kalmthout, België	51.3524501	51.3524501	51.3832723	4.4763255	Brabants	22.29	main	male	0	user_id_1804	username_1804
bent	2016	Duffel, België	51.0725369	51.0725369	51.0957176	4.5061988	Brabants	31.62	main	female	0	user_id_1238	username_1238
bent	2016	Hoogstraten, België	51.3756463	51.3756463	51.39573015	4.744087183464012	Brabants	8.64	main	female	0	user_id_1805	username_1805
bent	2016	Kalmthout, België	51.3524501	51.3524501	51.3832723	4.4763255	Brabants	22.29	other		0	user_id_1163	username_1163
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	2	user_id_570	username_570
bent	2016	Mechelen, Belgium	50.9911878	50.9911878	51.0281381	4.4803453	Brabants	38.82	other		0	user_id_1294	username_1294
bent	2016	Brasschaat, België	51.2686367	51.2686367	51.2900693	4.4917295	Brabants	20.46	main	female	0	user_id_1806	username_1806
bent	2016	Mechelen, Belgium	50.9911878	50.9911878	51.0281381	4.4803453	Brabants	38.82	main	female	0	user_id_912	username_912
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	other	female	0	user_id_564	username_564
bent	2016	Mechelen, Belgium	50.9911878	50.9911878	51.0281381	4.4803453	Brabants	38.82	inversion		0	user_id_644	username_644
bent	2016	Wuustwezel, België	51.3373528	51.3373528	51.38525	4.565174345040151	Brabants	16.6	other	male	0	user_id_1709	username_1709
bent	2016	Kapellen, België	51.2927205	51.2927205	51.3324502	4.430583785863899	Brabants	24.44	inversion	female	0	user_id_777	username_777
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	0	user_id_1807	username_1807
bent	2016	Genk, Belgium	50.9132817	50.9132817	50.9654864	5.5001456	Limburgs	64.06	main	female	0	user_id_356	username_356
bent	2016	Lier, België	51.0729422	51.0729422	51.131069	4.5696516	Brabants	25.82	main	female	0	user_id_1193	username_1193
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	inversion	female	0	user_id_1808	username_1808
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	other	female	0	user_id_1809	username_1809
bent	2016	Mechelen, Belgium	50.9911878	50.9911878	51.0281381	4.4803453	Brabants	38.82	main	female	0	user_id_1810	username_1810
bent	2016	Londerzeel, België	50.9738754	50.9738754	51.0021194	4.3028049	Brabants	48.79	other		0	user_id_57	username_57
bent	2016	Sint-Amands, België	51.0316403	51.0316403	51.0560497	4.201114	Brabants	50.15	main	female	0	user_id_1260	username_1260
bent	2016	Stabroek, België	51.2971672	51.2971672	51.335154200000005	4.370409494988416	Brabants	28.64	main	female	3	user_id_1612	username_1612
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	0	user_id_2	username_2
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	other	female	0	user_id_1811	username_1811
bent	2016	Ghent, Belgium	50.9795312	50.9795312	51.0538286	3.7250121	Oost-Vlaams	79.59	other	male	0	user_id_583	username_583
bent	2016	Kapellen, België	51.2927205	51.2927205	51.3324502	4.430583785863899	Brabants	24.44	other	female	0	user_id_777	username_777
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	1	user_id_1183	username_1183
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	2	user_id_570	username_570
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	inversion	female	0	user_id_1203	username_1203
bent	2016	Kapellen, België	51.2927205	51.2927205	51.3324502	4.430583785863899	Brabants	24.44	other	female	0	user_id_1447	username_1447
bent	2016	Herentals, België	51.1029187	51.1029187	51.1765426	4.8362595	Brabants	16.6	main		0	user_id_1761	username_1761
bent	2016	Grimbergen, België	50.901011	50.901011	50.9457843	4.38909669976362	Brabants	49.99	main		0	user_id_1344	username_1344
bent	2016	Beveren, België	51.1665499	51.1665499	51.21288495	4.249081329859443	Oost-Vlaams	39.03	main	female	0	user_id_1812	username_1812
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	inversion	female	0	user_id_153	username_153
bent	2016	Boechout, België	51.1296166	51.1296166	51.1597261	4.509867483882227	Brabants	26.12	other	female	0	user_id_565	username_565
bent	2016	Puurs, België	51.0266441	51.0266441	51.0762086	4.2817075	Brabants	44.29	other	male	0	user_id_1797	username_1797
bent	2016	Rijkevorsel, België	51.3126094	51.3126094	51.3503707	4.758514	Brabants	3.56	main		0	user_id_1643	username_1643
bent	2016	Kontich, België	51.0930239	51.0930239	51.1353297	4.4454784	Brabants	31.27	main	male	1	user_id_1813	username_1813
bent	2016	Schoten, België	51.2355792	51.2355792	51.2516344	4.4980446	Brabants	21.2	other	male	0	user_id_1814	username_1814
bent	2016	De Haan, Belgium	51.2196571	51.2196571	51.26711375	3.040837568315692	West-Vlaams	121.51	other	female	0	user_id_1756	username_1756
bent	2016	Herentals, België	51.1029187	51.1029187	51.1765426	4.8362595	Brabants	16.6	main		0	user_id_1761	username_1761
bent	2016	Boechout, België	51.1296166	51.1296166	51.1597261	4.509867483882227	Brabants	26.12	other	female	0	user_id_652	username_652
bent	2016	Zwijndrecht, België	51.1851818	51.1851818	51.23086665	4.318607588394736	Brabants	33.79	main	female	0	user_id_1815	username_1815
bent	2016	Grimbergen, België	50.901011	50.901011	50.9457843	4.38909669976362	Brabants	49.99	main		0	user_id_1344	username_1344
bent	2016	Louvain, Belgium	50.824111	50.824111	50.879202	4.7011675	Brabants	49.53	inversion		0	user_id_1667	username_1667
bent	2016	Ninove, België	50.7708186	50.7708186	50.8214549	4.0037422031066825	Oost-Vlaams	77.86	main	female	0	user_id_1801	username_1801
bent	2016	Louvain, Belgium	50.824111	50.824111	50.879202	4.7011675	Brabants	49.53	main		0	user_id_1667	username_1667
bent	2016	Louvain, Belgium	50.824111	50.824111	50.879202	4.7011675	Brabants	49.53	inversion		0	user_id_1667	username_1667
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	0	user_id_570	username_570
bent	2016	Menen, België	50.7556073	50.7556073	50.7937353	3.167040611100269	West-Vlaams	127.47	inversion	female	0	user_id_1816	username_1816
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	other	female	0	user_id_153	username_153
bent	2016	Kapellen, België	51.2927205	51.2927205	51.3324502	4.430583785863899	Brabants	24.44	main	female	0	user_id_966	username_966
bent	2016	Kruibeke, België	51.1238475	51.1238475	51.17625475	4.298036873275151	Oost-Vlaams	37.38	inversion	female	0	user_id_1817	username_1817
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	inversion	male	0	user_id_1697	username_1697
bent	2016	Kasterlee, België	51.1947139	51.1947139	51.24894455	4.989181503091067	Brabants	16.64	inversion	female	0	user_id_1818	username_1818
bent	2016	Louvain, Belgium	50.824111	50.824111	50.879202	4.7011675	Brabants	49.53	inversion	female	0	user_id_1796	username_1796
bent	2016	Zwijndrecht, België	51.1851818	51.1851818	51.23086665	4.318607588394736	Brabants	33.79	main	male	1	user_id_1223	username_1223
bent	2016	Brasschaat, België	51.2686367	51.2686367	51.2900693	4.4917295	Brabants	20.46	main	female	0	user_id_1798	username_1798
bent	2016	Buggenhout, België	50.9824614	50.9824614	51.011310050000006	4.192796388661321	Oost-Vlaams	53.69	other	female	0	user_id_1192	username_1192
bent	2016	Duffel, België	51.0725369	51.0725369	51.0957176	4.5061988	Brabants	31.62	other	female	0	user_id_1809	username_1809
bent	2016	Louvain, Belgium	50.824111	50.824111	50.879202	4.7011675	Brabants	49.53	main		1	user_id_1667	username_1667
bent	2016	Louvain, Belgium	50.824111	50.824111	50.879202	4.7011675	Brabants	49.53	inversion		1	user_id_1667	username_1667
bent	2016	Bornem, België	51.0588966	51.0588966	51.09096325	4.238967723449794	Brabants	45.74	main		0	user_id_1819	username_1819
bent	2016	Heist-op-den-Berg, België	50.9986181	50.9986181	51.06251575	4.71943107216415	Brabants	29.14	inversion	male	0	user_id_831	username_831
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	0	user_id_1596	username_1596
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	0	user_id_1596	username_1596
bent	2016	Kapellen, België	51.2927205	51.2927205	51.3324502	4.430583785863899	Brabants	24.44	main	female	0	user_id_549	username_549
bent	2016	Sint-Niklaas, België	51.1296054	51.1296054	51.1646685	4.1395124	Oost-Vlaams	48.06	main	male	1	user_id_1776	username_1776
